Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S00284,21,79,52,65,5.3,1
S00285,18,93,72,70,6.4,1
S00286,22,70,80,83,6.2,1
S00287,21,56,75,52,4.6,1
S00288,22,61,72,40,4.0,1
S00289,20,60,60,54,2.1,0
S00290,21,69,65,79,4.5,1
S00291,20,56,64,64,2.5,0
S00292,18,61,69,89,7.6,1
S00293,18,66,51,38,2.9,0
S00294,21,76,55,61,1.5,0
S00295,21,79,75,81,6.0,1
S00296,22,82,55,58,6.4,1
S00297,22,91,90,93,8.8,1
S00298,20,79,83,72,6.2,1
S00299,21,76,64,100,4.1,1
S00300,18,87,100,55,8.2,1
S00301,22,70,65,89,5.9,1
S00302,22,49,51,53,1.7,0
S00303,18,72,69,54,6.1,1
S00304,22,90,86,78,9.2,1
S00305,20,65,64,71,4.6,1
S00306,21,68,48,77,3.7,1
S00307,18,64,52,81,2.3,0
S00308,21,68,57,77,2.4,0
S00309,22,82,82,58,4.9,1
S00310,22,76,99,88,6.4,1
S00311,18,44,70,63,1.7,0
S00312,20,85,79,77,9.5,1
S00313,19,82,73,77,7.8,1
S00314,18,57,73,66,6.3,1
S00315,19,98,100,82,8.5,1
S00316,19,58,53,49,1.7,0
S00317,20,75,56,58,5.3,1
S00318,19,90,71,81,6.7,1
S00319,19,78,92,89,8.5,1
S00320,20,88,90,78,8.1,1
S00321,19,63,60,81,3.5,1
S00322,19,86,95,82,9.5,1
S00323,19,51,32,56,2.1,0
S00324,18,100,87,91,8.9,1
S00325,18,85,98,84,9.7,1
S00326,18,67,50,62,2.6,0
S00327,20,61,70,48,7.5,1
S00328,22,67,33,57,1.4,0
S00329,19,79,85,46,4.6,1
S00330,19,73,64,57,5.6,1
S00331,20,73,77,58,6.2,1
S00332,19,92,94,72,9.4,1
S00333,18,100,94,70,7.1,1
S00334,22,54,69,65,5.3,1
S00335,21,91,77,89,8.3,1
S00336,19,79,90,88,9.6,1
S00337,18,55,67,33,1.2,0
S00338,21,87,87,87,9.8,1
S00339,22,53,45,62,1.8,0
S00340,21,83,66,77,8.3,1
S00341,18,53,49,64,3.5,1
S00342,21,69,67,62,2.2,0
S00343,20,52,65,79,5.0,1
S00344,21,83,70,57,6.8,1
S00345,19,64,59,64,4.4,1
S00346,19,44,55,75,1.5,0
S00347,20,78,72,91,6.4,1
S00348,18,71,83,94,9.1,1
S00349,19,68,81,74,4.4,1
S00350,22,47,77,82,2.9,0
S00351,19,75,51,93,5.0,1
S00352,19,46,57,55,1.4,0
S00353,18,79,75,70,8.4,1
S00354,21,87,81,78,8.4,1
S00355,19,67,78,100,6.3,1
S00356,20,66,63,48,4.2,1
S00357,21,68,85,75,8.2,1
S00358,22,80,81,56,6.0,1
S00359,18,100,87,83,8.4,1
S00360,22,100,69,61,6.7,1
S00361,21,83,75,79,8.1,1
S00362,21,83,59,51,6.4,1
S00363,21,51,58,76,4.7,1
S00364,22,100,100,100,9.6,1
S00365,21,81,64,68,5.9,1
S00366,22,71,62,73,6.4,1
S00367,21,74,64,61,3.0,1
S00368,20,74,75,77,6.6,1
S00369,21,70,71,73,6.1,1
S00370,22,66,75,71,2.7,0
S00371,19,45,60,72,1.5,0
S00372,21,86,69,65,6.4,1
S00373,19,71,77,76,7.9,1
S00374,20,62,66,83,5.7,1
S00375,18,53,70,45,3.0,1
S00376,20,86,74,53,7.0,1
S00377,21,51,35,61,1.7,0
S00378,19,57,68,75,5.0,1
S00379,19,54,42,52,2.5,0
S00380,22,60,83,55,2.7,0
S00381,19,49,49,53,2.8,0
S00382,22,56,65,57,4.5,1
S00383,18,77,57,66,1.5,0
S00384,21,60,64,54,4.6,1
S00385,22,69,68,68,5.6,1
S00386,18,68,75,60,5.3,1
S00387,19,63,83,50,4.4,1
S00388,19,91,93,93,8.6,1
S00389,18,69,74,54,2.3,0
S00390,19,69,60,74,5.6,1
S00391,18,44,58,40,1.6,0
S00392,22,69,56,49,1.6,0
S00393,22,74,78,83,6.2,1
S00394,18,92,89,100,6.1,1
S00395,22,63,83,59,8.9,1
S00396,22,76,69,71,6.0,1
S00397,22,100,94,91,9.6,1
S00398,20,52,34,50,1.4,0
S00399,21,55,53,69,1.9,0
S00400,19,59,52,46,1.4,0
S00401,20,55,49,63,2.7,0
S00402,22,70,84,66,5.9,1
S00403,18,74,65,90,6.8,1
S00404,22,49,52,49,1.4,0
S00405,21,100,91,81,9.5,1
S00406,22,89,99,93,8.6,1
S00407,18,67,63,53,3.7,1
S00408,21,65,65,59,1.7,0
S00409,22,57,66,39,2.5,0
S00410,21,51,58,46,2.1,0
S00411,19,52,45,64,2.1,0
S00412,19,73,56,60,5.7,1
S00413,22,52,63,57,3.2,1
S00414,21,62,60,73,4.2,1
S00415,18,84,100,80,9.9,1
S00416,22,100,86,87,7.2,1
S00417,19,60,86,88,9.5,1
S00418,19,57,45,65,2.3,0
S00419,22,85,72,82,4.4,1
S00420,21,75,62,77,6.0,1
S00421,19,64,47,76,1.7,0
S00422,21,55,41,66,1.0,0
S00423,19,71,76,70,7.0,1
S00424,19,55,89,91,6.8,1
S00425,20,71,68,72,4.7,1
S00426,19,64,66,66,5.4,1
S00427,18,61,51,72,4.7,1
S00428,22,50,59,70,1.2,0
S00429,22,83,56,71,4.0,1
S00430,21,84,60,83,2.6,0
S00431,19,60,52,72,1.9,0
S00432,18,84,98,92,9.6,1
S00433,21,64,73,62,6.4,1
S00434,20,85,79,76,7.6,1
S00435,21,83,69,66,3.8,1
S00436,21,66,90,76,4.5,1
S00437,19,39,71,70,3.1,1
S00438,20,64,55,61,1.9,0
S00439,21,70,59,63,2.6,0
S00440,18,67,77,89,8.2,1
S00441,18,80,67,67,7.1,1
S00442,22,78,67,93,5.9,1
S00443,20,70,62,46,5.3,1
S00444,20,79,94,100,9.3,1
S00445,22,67,43,57,1.7,0
S00446,21,60,77,76,3.5,1
S00447,20,52,73,71,4.1,1
S00448,18,62,82,84,8.0,1
S00449,18,100,90,93,9.9,1
S00450,19,69,55,73,3.2,1
S00451,20,86,88,79,8.9,1
S00452,21,80,96,94,8.5,1
S00453,22,57,53,49,3.0,1
S00454,22,58,50,68,4.6,1
S00455,21,64,75,78,4.7,1
S00456,19,68,93,98,9.8,1
S00457,22,53,47,67,2.6,0
S00458,20,80,74,76,8.2,1
S00459,19,72,55,77,4.0,1
S00460,20,80,72,71,7.6,1
S00461,18,77,65,90,4.8,1
S00462,19,88,71,73,6.2,1
S00463,22,95,77,63,8.5,1
S00464,19,88,74,66,8.2,1
S00465,19,85,82,83,8.8,1
S00466,19,46,56,59,1.5,0
S00467,19,86,75,100,7.2,1
S00468,20,76,70,48,2.3,0
S00469,18,72,73,69,4.7,1
S00470,21,93,55,60,5.9,1
S00471,19,53,73,62,4.6,1
S00472,22,61,79,92,5.7,1
S00473,19,99,85,73,10.0,1
S00474,22,61,41,67,2.2,0
S00475,20,92,78,82,7.1,1
S00476,22,68,67,68,4.6,1
S00477,21,50,45,66,2.2,0
S00478,18,57,42,46,2.4,0
S00479,22,73,87,100,9.5,1
S00480,22,74,83,100,8.9,1
S00481,18,97,82,85,9.2,1
S00482,21,98,89,100,9.9,1
S00483,19,65,48,57,2.9,0
S00484,22,50,61,72,4.2,1
S00485,18,74,83,94,7.0,1
S00486,20,59,67,65,5.4,1
S00487,18,81,50,52,4.8,1
S00488,20,61,60,47,4.2,1
S00489,21,64,63,99,6.3,1
S00490,19,75,77,67,6.2,1
S00491,18,54,62,59,2.5,0
S00492,22,86,52,57,5.2,1
S00493,21,67,82,84,6.0,1
S00494,18,60,61,64,6.1,1
S00495,22,40,77,56,2.9,0
S00496,18,80,80,83,7.7,1
S00497,20,49,39,43,1.2,0
S00498,18,53,53,65,4.2,1
S00499,18,94,85,97,8.0,1
S00500,18,81,69,78,6.1,1
S00501,21,63,61,65,3.4,1
S00502,18,93,96,80,7.3,1
S00503,22,81,66,69,6.1,1
S00504,20,75,83,100,8.2,1
S00505,20,70,96,69,7.6,1
S00506,18,84,78,77,6.5,1
S00507,21,76,53,72,5.4,1
S00508,21,60,63,72,2.2,0
S00509,22,55,49,77,3.4,1
S00510,18,75,84,68,4.8,1
S00511,20,68,66,78,6.4,1
S00512,21,71,100,76,5.6,1
S00513,18,79,79,37,3.6,1
S00514,21,48,44,37,1.1,0
S00515,21,56,71,64,5.5,1
S00516,20,54,71,58,3.6,1
S00517,19,90,89,64,7.6,1
S00518,22,57,58,65,1.2,0
S00519,22,74,88,74,6.3,1
S00520,20,83,87,83,9.5,1
S00521,21,65,55,46,2.6,0
S00522,18,62,66,70,5.2,1
S00523,21,60,65,27,1.8,0
S00524,20,69,80,73,6.6,1
S00525,22,65,76,74,6.0,1
S00526,21,62,76,71,4.7,1
S00527,22,69,49,53,5.7,1
S00528,18,86,90,87,9.1,1
S00529,22,64,62,49,2.8,0
S00530,22,18,71,46,1.2,0
S00531,19,77,68,91,8.8,1
S00532,19,71,91,98,6.2,1
S00533,19,100,87,84,9.0,1
S00534,22,65,80,65,6.4,1
S00535,20,85,100,83,8.3,1
S00536,22,85,75,80,4.9,1
S00537,20,68,85,86,7.7,1
S00538,20,91,89,100,9.2,1
S00539,19,66,68,65,6.1,1
S00540,21,55,59,64,2.6,0
S00541,18,56,54,82,3.4,1
S00542,19,54,59,80,2.8,0
S00543,19,90,36,40,3.2,1
S00544,21,74,69,65,3.8,1
S00545,18,85,72,91,6.0,1
S00546,22,80,71,100,6.3,1
S00547,22,53,71,77,4.8,1
S00548,19,80,60,70,6.5,1
S00549,18,68,76,46,1.7,0
S00550,19,49,54,85,1.8,0
S00551,20,70,57,69,2.5,0
S00552,19,80,61,62,5.7,1
S00553,19,80,60,60,2.9,0
S00554,22,60,78,68,3.5,1
S00555,22,57,79,75,4.6,1
S00556,22,80,92,70,8.3,1
S00557,20,69,59,48,1.1,0
S00558,22,59,73,56,6.8,1
S00559,18,57,61,89,7.0,1
S00560,21,84,80,77,8.2,1
S00561,18,83,85,90,9.4,1
S00562,18,55,65,73,1.2,0
S00563,22,69,61,63,2.4,0
S00564,21,80,100,82,9.0,1
S00565,21,52,83,72,5.1,1
S00566,21,95,69,74,6.1,1
S00567,20,68,58,91,7.0,1
S00568,22,68,93,81,7.1,1
S00569,21,99,100,78,9.4,1
S00570,20,86,75,100,10.0,1
S00571,19,79,96,93,7.5,1
S00572,19,69,67,49,3.6,1
S00573,20,96,87,100,8.9,1
S00574,20,52,72,61,1.4,0
S00575,22,78,76,66,3.1,1
S00576,22,65,93,96,9.1,1
S00577,19,71,67,57,3.3,1
S00578,21,54,67,74,3.0,1
S00579,19,73,53,55,2.2,0
S00580,21,86,84,65,8.7,1
S00581,21,65,61,59,5.5,1
S00582,22,85,74,84,7.1,1
S00583,18,72,57,52,3.2,1
S00584,18,88,74,99,7.8,1
S00585,20,71,82,94,7.8,1
S00586,22,60,60,81,3.8,1
S00587,21,69,73,70,4.7,1
S00588,18,61,42,65,2.9,0
S00589,21,97,88,72,9.8,1
S00590,18,57,78,88,6.8,1
S00591,18,91,84,89,9.4,1
S00592,18,62,62,72,3.7,1
S00593,22,74,64,100,8.0,1
S00594,19,74,85,72,7.9,1
S00595,21,77,85,76,7.2,1
S00596,22,53,94,90,9.7,1
S00597,22,61,78,57,4.5,1
S00598,22,50,59,57,2.2,0
S00599,22,83,83,82,7.0,1
S00600,22,72,82,75,7.6,1
S00601,20,73,82,89,6.2,1
S00602,21,77,43,44,2.9,0
S00603,22,82,61,85,5.5,1
S00604,21,74,81,73,3.8,1
S00605,20,64,41,62,4.8,1
S00606,20,83,75,65,6.8,1
S00607,21,78,93,54,7.7,1
S00608,18,60,60,53,3.1,1
S00609,19,72,63,81,4.6,1
S00610,18,58,64,63,3.4,1
S00611,18,76,56,76,2.8,0
S00612,18,81,82,73,8.1,1
S00613,22,93,79,93,9.2,1
S00614,20,82,78,58,4.3,1
S00615,18,92,96,68,7.8,1
S00616,20,72,85,83,9.1,1
S00617,21,89,69,74,8.6,1
S00618,19,69,53,43,2.6,0
S00619,21,97,86,83,9.6,1
S00620,21,56,72,69,4.4,1
S00621,22,60,54,82,4.1,1
S00622,19,66,46,69,1.6,0
S00623,21,64,76,86,5.4,1
S00624,21,55,67,68,2.0,0
S00625,19,79,55,67,3.2,1
S00626,19,65,50,51,3.9,1
S00627,21,76,100,83,8.3,1
S00628,19,77,94,90,8.9,1
S00629,21,68,61,82,3.7,1
S00630,21,71,94,91,8.7,1
S00631,22,82,83,97,8.7,1
S00632,18,85,91,67,7.9,1
S00633,21,72,59,56,2.3,0
S00634,20,85,79,82,7.2,1
S00635,18,81,87,99,9.5,1
S00636,18,90,62,75,7.1,1
S00637,18,63,86,65,4.0,1
S00638,22,60,61,79,5.5,1
S00639,21,75,62,62,6.8,1
S00640,22,87,69,91,5.6,1
S00641,21,60,46,49,2.1,0
S00642,22,65,63,42,3.8,1
S00643,22,99,90,81,8.2,1
S00644,20,71,96,100,8.8,1
S00645,22,46,66,67,2.2,0
S00646,19,72,85,95,9.6,1
S00647,20,70,65,66,4.0,1
S00648,22,80,82,75,7.0,1
S00649,18,97,61,61,7.8,1
S00650,19,86,89,54,8.3,1
S00651,19,84,72,88,9.5,1
S00652,19,65,86,81,3.8,1
S00653,20,86,80,87,8.7,1
S00654,22,42,55,67,2.2,0
S00655,22,100,70,97,7.3,1
S00656,18,86,73,83,7.7,1
S00657,18,81,100,75,7.1,1
S00658,19,69,72,54,3.3,1
S00659,18,93,68,100,8.9,1
S00660,20,59,75,67,2.5,0
S00661,22,50,67,46,1.5,0
S00662,19,86,76,64,7.5,1
S00663,18,75,74,86,5.3,1
S00664,20,76,84,70,8.6,1
S00665,20,82,89,90,4.5,1
S00666,18,63,50,28,2.5,0
S00667,22,91,85,99,8.5,1
S00668,18,88,68,78,5.9,1
S00669,19,61,44,63,2.7,0
S00670,18,83,100,76,7.5,1
S00671,20,81,59,94,5.6,1
S00672,18,68,77,83,6.4,1
S00673,22,71,50,59,5.1,1
S00674,21,85,79,61,8.5,1
S00675,18,74,88,84,8.5,1
S00676,22,100,70,78,7.4,1
S00677,22,44,62,40,1.9,0
S00678,20,71,81,81,8.5,1
S00679,22,91,90,70,7.0,1
S00680,22,86,94,78,7.3,1
S00681,22,57,60,76,4.3,1
S00682,22,92,86,100,8.9,1
S00683,19,95,82,89,7.5,1
S00684,19,58,63,50,2.0,0
S00685,20,95,68,73,4.7,1
S00686,18,69,88,84,9.0,1
S00687,22,63,51,41,1.4,0
S00688,18,100,90,91,9.7,1
S00689,18,87,92,99,7.1,1
S00690,20,75,83,76,6.7,1
S00691,22,61,70,45,3.4,1
S00692,22,67,69,64,3.2,1
S00693,21,96,86,71,9.5,1
S00694,18,71,67,75,3.7,1
S00695,18,92,70,86,8.0,1
S00696,19,58,81,66,4.5,1
S00697,21,57,27,56,2.3,0
S00698,19,45,52,53,1.1,0
S00699,19,70,85,73,5.9,1
S00700,19,99,74,77,9.8,1
S00701,20,68,70,50,4.3,1
S00702,20,93,58,80,4.2,1
S00703,19,68,61,62,4.1,1
S00704,21,73,82,74,5.7,1
S00705,18,71,71,73,5.0,1
S00706,21,79,63,87,8.9,1
S00707,22,71,60,57,5.5,1
S00708,20,84,82,51,5.6,1
S00709,18,60,62,53,2.2,0
S00710,18,81,100,91,9.8,1
S00711,22,54,80,54,3.2,1
S00712,22,52,51,54,1.7,0
S00713,19,79,100,100,7.0,1
S00714,20,88,75,52,6.4,1
S00715,20,55,57,59,4.7,1
S00716,21,66,61,92,4.8,1
S00717,19,84,57,80,8.1,1
S00718,19,43,77,53,2.8,0
S00719,19,75,100,95,8.4,1
S00720,19,70,65,76,6.8,1
S00721,20,61,66,65,4.8,1
S00722,20,72,70,72,5.1,1
S00723,19,62,51,56,3.3,1
S00724,21,76,61,67,7.8,1
S00725,18,77,69,70,5.6,1
S00726,18,83,61,54,3.9,1
S00727,21,92,71,75,6.4,1
S00728,19,71,92,91,10.0,1
S00729,20,75,84,79,4.9,1
S00730,18,85,84,98,9.3,1
S00731,22,68,67,61,4.1,1
S00732,22,52,62,63,1.5,0
S00733,21,62,66,68,2.8,0
S00734,19,71,61,73,4.8,1
S00735,18,56,62,57,3.0,1
S00736,19,45,58,43,1.0,0
S00737,18,82,74,90,9.2,1
S00738,21,87,98,62,8.6,1
S00739,21,87,96,76,7.7,1
S00740,22,69,51,30,2.5,0
S00741,19,53,59,43,2.1,0
S00742,22,59,62,47,1.6,0
S00743,19,90,73,91,7.5,1
S00744,22,99,93,93,9.4,1
S00745,20,69,70,63,4.9,1
S00746,20,56,41,68,2.1,0
S00747,20,74,77,82,5.6,1
S00748,20,55,53,64,4.1,1
S00749,18,66,77,51,4.4,1
S00750,20,84,68,73,6.6,1
S00751,21,86,78,77,7.5,1
S00752,21,55,71,44,2.0,0
S00753,18,57,59,61,1.3,0
S00754,20,81,78,90,9.9,1
S00755,20,69,50,68,3.1,1
S00756,20,55,48,61,1.5,0
S00757,22,58,64,70,2.7,0
S00758,19,52,58,55,1.4,0
S00759,22,67,58,70,4.5,1
S00760,19,78,70,76,8.2,1
S00761,20,73,68,59,4.1,1
S00762,20,66,67,86,5.0,1
S00763,22,94,100,52,7.1,1
S00764,22,87,72,82,5.6,1
S00765,19,76,100,75,8.8,1
S00766,21,86,72,74,8.8,1
S00767,19,48,35,59,1.1,0
S00768,22,79,69,62,8.0,1
S00769,22,90,83,60,5.1,1
S00770,18,87,100,76,9.9,1
S00771,22,75,62,68,5.3,1
S00772,18,95,85,77,9.9,1
S00773,21,71,68,99,7.8,1
