Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH185,45,23991.58,Primary,4,No,Rural
HH186,44,68422.1,Graduate,2,Yes,Rural
HH187,42,59337.47,Graduate,8,Yes,Urban
HH188,55,35550.55,Secondary,2,Yes,Urban
HH189,27,63668.82,Graduate,5,No,Urban
HH190,32,107573.56,Post-Graduate,3,Yes,Rural
HH191,52,50490.53,Graduate,5,Yes,Rural
HH192,52,118604.59,Post-Graduate,5,Yes,Rural
HH193,61,42734.05,Secondary,2,Yes,Urban
HH194,44,87514.05,Graduate,6,Yes,Rural
HH195,52,57244.41,Graduate,4,Yes,Rural
HH196,30,36771.56,Secondary,3,Yes,Rural
HH197,29,29438.13,Secondary,7,Yes,Rural
HH198,69,35988.75,Primary,6,Yes,Rural
HH199,57,39136.12,Secondary,8,No,Rural
HH200,35,52216.81,Secondary,6,Yes,Rural
